title,type,episodes,status,picture,duration,score,synonyms,tags,year
Rubi Yoyo Jiaoyu Xilie: Kuaile Chengzhang,TV,52,FINISHED,https://cdn.myanimelist.net/images/anime/1297/123966.jpg,420,0.0,['乐比悠悠教育系列之快乐成长'],"['chinese animation', 'family friendly', 'kids', 'short episodes']",2012
Rubi Yoyo Kepu Xilie: Dongwu Ziran,TV,52,FINISHED,https://cdn.myanimelist.net/images/anime/1777/130993.jpg,420,0.0,['乐比悠悠科普系列之动物自然'],['kids'],2015
Rubi Yoyo: Dayang Huan Youji,TV,52,FINISHED,https://cdn.myanimelist.net/images/anime/1247/130992.jpg,420,0.0,['乐比悠悠大洋环游记'],['kids'],2018
Rudolf to Ippaiattena,MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/2/87389.jpg,5280,6.807517448537857,"['Gatos: Un Viaje De Vuelta A Casa', 'Gatos: Un Viaje de Vuelta a Casa', 'Rudolf alla ricerca della felicità', 'Rudolf and Ippai Attena', 'Rudolf der schwarze Kater', 'Rudolf the Black Cat', 'Rudolfo, O Gatinho Preto', 'Rudolph and Gotalot', 'Rudolph and Ippaiattena', 'ルドルフとイッパイアッテナ', 'ルドルフとイッパイアッテナ」フ']","['3d cg animation', 'adventure', 'animal protagonist', 'animal protagonists', 'animals', 'cats', 'cg animation', 'cg-anime', 'cgi', 'comedy', 'family friendly', 'family life', 'full cgi', 'japanese production', 'kids', 'kodomo', 'non-human protagonists', 'novel', 'present', 'product placement', 'real-world location', 'slice of life', 'stand-alone movie']",2016
Run=Dim: Naeseoseu-ui Banran,MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/1826/131552.jpg,4860,0.0,"['RUN=DIM 네서스의 반란', 'Reondim: Naeseoseu-ui Banran', 'Run=Dim Movie']","['action', 'mecha', 'sci-fi']",2001
Running Man,TV,48,FINISHED,https://cdn.myanimelist.net/images/anime/1325/98783.jpg,600,6.642,"['Runningman The Animation', '런닝맨', '애니메이션 런닝맨']","['action', 'adventure', 'animal protagonists', 'anthropomorphic', 'cg animation', 'cg-anime', 'fantasy', 'kids', 'korean animation', 'non-human protagonists']",2017
Running Man 2,TV,48,FINISHED,https://cdn.anisearch.com/images/anime/cover/15/15486_600_300.webp,0,0.0,"['런닝맨 2', '애니메이션 런닝맨 2']","['adventure', 'cg-anime']",2019
Running Man: Pullulluui Yeogseub,MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/1730/125160.jpg,4020,0.0,"['Leonningmaen: Pullulluui Yeogseub', 'Running Man: Counterattack at Pulululu', 'Running Man: Pullulluui Yeokseup', 'Running Man: The Ultimate Challenge', '런닝맨: 풀룰루의 역습']","['action', 'adventure', 'animal protagonists', 'anthropomorphic', 'cg animation', 'family friendly', 'fantasy', 'kids', 'korean animation', 'non-human protagonists']",2018
Running Man: Revengers,MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/1699/137756.jpg,4380,0.0,"['Leonningmaen: Libenjyeoseu', '런닝맨: 리벤져스']","['action', 'adventure', 'cg-anime', 'kids']",2023
Runway de Waratte,TV,12,FINISHED,https://cdn.myanimelist.net/images/anime/1544/104540.jpg,1440,7.57178188271356,"['Shine : Smile at the Runway', 'Smile Down the Runway', 'Smile at the Runway', 'Smile on the Runway', 'ابتسمي في ممرّ العارضين', 'ถักทอฝันสู่รันเวย์', 'ランウェイで笑って', '請在伸展台上微笑', '请在T台上微笑']","['animeism', 'based on a manga', 'comedy', 'coming of age', 'drama', 'family life', 'fashion', 'female protagonist', 'ganbatte', 'hero of strong character', 'heroine of strong character', 'japanese production', 'male protagonist', 'manga', 'modelling', 'nudity', 'present', 'primarily teen cast', 'school', 'school life', 'shounen', 'showbiz', 'slice of life', 'slice of life drama', 'visual arts', 'work']",2020
Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,FINISHED,https://cdn.myanimelist.net/images/anime/1346/119505.jpg,1500,8.095434402817117,"['Kenshin', 'Kenshin - Samurai vagabondo', 'Kenshin Samurai Vagabondo', 'Kenshin le Vagabond', 'Kenshin le vagabond', 'Kenshin, El Guerrero Samurai', 'Kenshin, el Guerrero Samurai', 'Kenshin, le vagabond', 'Kenshin: El Guerrero Samurái', 'Lãng khách Kenshin', 'RuroKen', 'RuroKen TV', 'Rurouni Kenshin', 'Rurouni Kenshin - Legend of Kyoto', 'Rurouni Kenshin - Tales of the Meiji', 'Rurouni Kenshin - Wandering Samurai', 'Rurouni Kenshin TV', 'Rurouni Kenshin: Legend of Kyoto', 'Rurouni Kenshin: Meiji Swordsman Romantic Story', 'Rurouni Kenshin: Romance of a Meiji Swordsman', 'Rurouni Kenshin: Tales of the Meiji', 'Rurouni Kenshin: Wandering Samurai', 'Rurōni Kenshin: Meiji Kenkaku Romantan', 'Samurai X', 'Samurajai X', 'Samuray X', 'Wanderer Kenshin', 'Wandering Kenshin: Romantic Tales from the Meiji Era', 'kenshin', 'kenshin tv', 'rk', 'rk tv', 'rktv', 'Бродяга Кэнсин', 'Руроуні Кеншін ~Оповіді Мейджі~', 'Самурай Х', 'רורואוני קנשין', 'الرحالة كينشن', 'ساموراي إكس', 'ซามูไรพเนจร', 'るろうに剣心', 'るろうに剣心 -明治剣客浪漫譚-', 'るろけん', 'るろ剣', '浪客剑心']","['19th century', 'action', 'adapted into japanese movie', 'adapted into other media', 'adventure', 'age difference romance', 'asia', 'bakumatsu - meiji period', 'based on a manga', 'calling your attacks', 'canon filler', 'catchphrase', 'comedy', 'conspiracy', 'cultivation', 'damsel in distress', 'death', 'defeat means friendship', 'drama', 'earth', 'feudal japan', 'has fillers', 'heterosexual', 'historical', 'japan', 'japanese production', 'kyoto', 'law and order', 'male protagonist', 'manga', 'martial arts', 'meiji era', 'murder', 'ninja', 'osaka', 'overpowered main characters', 'past', 'place', 'plot continuity', 'politics', 'redemption', 'rehabilitation', 'revenge', 'romance', 'samurai', 'shinsengumi', 'shounen', 'special squads', 'super power', 'swordplay', 'swords & co', 'tanabata', 'time', 'tokyo', 'tragedy', 'travel', 'tropes', 'tsundere', 'violence', 'weekly shounen jump']",1996
